[14.02.2020 19:37:53, поток 10] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 19:37:53, поток 0] [DEBUG] Start...
[14.02.2020 19:37:54, поток 1] Спарсили куки
[14.02.2020 19:37:54, поток 10] Спарсили куки
[14.02.2020 19:37:54, поток 4] [DEBUG] Start...
[14.02.2020 19:37:54, поток 3] [DEBUG] Start...
[14.02.2020 19:37:54, поток 0] Спарсили куки
[14.02.2020 19:37:55, поток 6] [DEBUG] Start...
[14.02.2020 19:37:55, поток 9] [DEBUG] Start...
[14.02.2020 19:37:55, поток 4] Спарсили куки
[14.02.2020 19:37:55, поток 3] Спарсили куки
[14.02.2020 19:37:56, поток 8] [DEBUG] Start...
[14.02.2020 19:37:56, поток 6] Спарсили куки
[14.02.2020 19:37:56, поток 5] [DEBUG] Start...
[14.02.2020 19:37:56, поток 9] Спарсили куки
[14.02.2020 19:37:57, поток 1] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 19:37:57, поток 8] Спарсили куки
[14.02.2020 19:37:57, поток 0] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 19:37:57, поток 5] Спарсили куки
[14.02.2020 19:37:57, поток 9] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 19:37:57, поток 4] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 19:37:58, поток 1] Спарсили куки
[14.02.2020 19:37:58, поток 0] Спарсили куки
[14.02.2020 19:37:58, поток 10] [DEBUG] Start...
[14.02.2020 19:37:58, поток 6] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 19:37:58, поток 9] Спарсили куки
[14.02.2020 19:37:58, поток 3] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 19:37:58, поток 8] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 19:37:58, поток 4] Спарсили куки
[14.02.2020 19:37:59, поток 10] Спарсили куки
[14.02.2020 19:37:59, поток 6] Спарсили куки
[14.02.2020 19:37:59, поток 5] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 19:37:59, поток 8] Спарсили куки
[14.02.2020 19:38:00, поток 3] Спарсили куки
[14.02.2020 19:38:00, поток 2] [DEBUG] Start...
[14.02.2020 19:38:00, поток 5] Спарсили куки
[14.02.2020 19:38:01, поток 10] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 19:38:02, поток 10] Спарсили куки
[14.02.2020 19:38:02, поток 2] Спарсили куки
[14.02.2020 19:38:07, поток 2] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 19:38:08, поток 2] Спарсили куки
[14.02.2020 19:38:09, поток 10] (Ошибка) Текст ошибки: xNet.HttpException: Не удалось установить SSL-соединение с HTTP-сервером 'i.instagram.com'. ---> System.IO.IOException: Аутентификация не пройдена из-за закрытия транспортного потока удаленной стороной.
   в System.Net.Security.SslState.StartReadFrame(Byte[] buffer, Int32 readBytes, AsyncProtocolRequest asyncRequest)
   в System.Net.Security.SslState.StartReceiveBlob(Byte[] buffer, AsyncProtocolRequest asyncRequest)
   в System.Net.Security.SslState.CheckCompletionBeforeNextReceive(ProtocolToken message, AsyncProtocolRequest asyncRequest)
   в System.Net.Security.SslState.StartSendBlob(Byte[] incoming, Int32 count, AsyncProtocolRequest asyncRequest)
   в System.Net.Security.SslState.ProcessReceivedBlob(Byte[] buffer, Int32 count, AsyncProtocolRequest asyncRequest)
   в System.Net.Security.SslState.StartReadFrame(Byte[] buffer, Int32 readBytes, AsyncProtocolRequest asyncRequest)
   в System.Net.Security.SslState.StartReceiveBlob(Byte[] buffer, AsyncProtocolRequest asyncRequest)
   в System.Net.Security.SslState.CheckCompletionBeforeNextReceive(ProtocolToken message, AsyncProtocolRequest asyncRequest)
   в System.Net.Security.SslState.StartSendBlob(Byte[] incoming, Int32 count, AsyncProtocolRequest asyncRequest)
   в System.Net.Security.SslState.ProcessReceivedBlob(Byte[] buffer, Int32 count, AsyncProtocolRequest asyncRequest)
   в System.Net.Security.SslState.StartReadFrame(Byte[] buffer, Int32 readBytes, AsyncProtocolRequest asyncRequest)
   в System.Net.Security.SslState.StartReceiveBlob(Byte[] buffer, AsyncProtocolRequest asyncRequest)
   в System.Net.Security.SslState.CheckCompletionBeforeNextReceive(ProtocolToken message, AsyncProtocolRequest asyncRequest)
   в System.Net.Security.SslState.StartSendBlob(Byte[] incoming, Int32 count, AsyncProtocolRequest asyncRequest)
   в System.Net.Security.SslState.ProcessReceivedBlob(Byte[] buffer, Int32 count, AsyncProtocolRequest asyncRequest)
   в System.Net.Security.SslState.StartReadFrame(Byte[] buffer, Int32 readBytes, AsyncProtocolRequest asyncRequest)
   в System.Net.Security.SslState.StartReceiveBlob(Byte[] buffer, AsyncProtocolRequest asyncRequest)
   в System.Net.Security.SslState.CheckCompletionBeforeNextReceive(ProtocolToken message, AsyncProtocolRequest asyncRequest)
   в System.Net.Security.SslState.StartSendBlob(Byte[] incoming, Int32 count, AsyncProtocolRequest asyncRequest)
   в System.Net.Security.SslState.ProcessReceivedBlob(Byte[] buffer, Int32 count, AsyncProtocolRequest asyncRequest)
   в System.Net.Security.SslState.StartReadFrame(Byte[] buffer, Int32 readBytes, AsyncProtocolRequest asyncRequest)
   в System.Net.Security.SslState.StartReceiveBlob(Byte[] buffer, AsyncProtocolRequest asyncRequest)
   в System.Net.Security.SslState.CheckCompletionBeforeNextReceive(ProtocolToken message, AsyncProtocolRequest asyncRequest)
   в System.Net.Security.SslState.StartSendBlob(Byte[] incoming, Int32 count, AsyncProtocolRequest asyncRequest)
   в System.Net.Security.SslState.ForceAuthentication(Boolean receiveFirst, Byte[] buffer, AsyncProtocolRequest asyncRequest)
   в System.Net.Security.SslState.ProcessAuthentication(LazyAsyncResult lazyResult)
   в System.Net.Security.SslStream.AuthenticateAsClient(String targetHost, X509CertificateCollection clientCertificates, SslProtocols enabledSslProtocols, Boolean checkCertificateRevocation)
   в System.Net.Security.SslStream.AuthenticateAsClient(String targetHost)
   в xNet.HttpRequest.CreateConnection(Uri address)
   --- Конец трассировки внутреннего стека исключений ---
   в xNet.HttpRequest.CreateConnection(Uri address)
   в xNet.HttpRequest.TryCreateConnectionOrUseExisting(Uri address, Uri previousAddress)
   в xNet.HttpRequest.Request(HttpMethod method, Uri address, HttpContent content)
   в xNet.HttpRequest.Raw(HttpMethod method, Uri address, HttpContent content)
   в xNet.HttpRequest.Raw(HttpMethod method, String address, HttpContent content)
   в xNet.HttpRequest.Post(String address, RequestParams reqParams, Boolean dontEscape)
   в InstaImap.Instagram.DoLogin(String email, WebProxy proxy, String UserAgent, String cookie) в D:\MaXiMAA\MaXiMAAOld\C#Готово\KWORK\InstaDirectMessage_ButDev\InstaDirectMessage_ButDev\Instagram.cs:строка 242
[14.02.2020 19:39:21, поток 0] [DEBUG] Start...
[14.02.2020 19:39:21, поток 1] [DEBUG] Start...
[14.02.2020 19:39:21, поток 2] [DEBUG] Start...
[14.02.2020 19:39:22, поток 3] [DEBUG] Start...
[14.02.2020 19:39:22, поток 4] [DEBUG] Start...
[14.02.2020 19:39:22, поток 0] Спарсили куки
[14.02.2020 19:39:22, поток 1] Спарсили куки
[14.02.2020 19:39:23, поток 5] [DEBUG] Start...
